A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
large,medium,0.7718154761904762,0.520734126984127,0.25108134920634917,0.02070089945972572,12.12900674653467,7.877429288389798,5.900309698825268e-06,6.92869701992741
large,small,0.7718154761904762,0.6385615079365079,0.1332539682539683,0.028518365904756027,4.672566748705101,6.861337189819388,0.005891753895240326,2.6692044933040067
medium,small,0.520734126984127,0.6385615079365079,-0.11782738095238088,0.027565254897947398,-4.274489076506044,6.367290500991295,0.010951607551159204,-2.4418025601775946
